transaction_id,date_time,debit_account,credit_account,amount,currency,type,description,generator_tag
GEN_20251108_233209_00001,2025-05-13T20:32:22.604088,8,external,307.67,USD,payment,Pizza delivery [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00002,2025-05-17T20:13:31.604088,16,external,143.67,USD,payment,Mobile top-up [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00003,2025-05-18T11:31:56.604088,external,11,256.25,USD,income,Work study payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00004,2025-05-20T08:48:34.604088,11,external,401.14,USD,payment,Coffee & snacks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00005,2025-05-21T18:33:30.604088,external,8,75.55,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00006,2025-05-23T19:10:41.604088,external,16,215.64,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00007,2025-05-28T14:25:57.604088,7,11,403.49,USD,transfer,Transfer to demo [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00008,2025-05-29T12:55:57.604088,13,external,138.89,USD,payment,Transport pass [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00009,2025-05-30T14:34:00.604088,external,14,147.36,USD,income,Student grant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00010,2025-06-03T14:07:27.604088,external,7,145.16,USD,income,Parent transfer [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00011,2025-06-04T15:51:42.604088,6,5,54.6,USD,transfer,Transfer to eve [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233209_00012,2025-06-16T18:58:44.604088,1,13,402.0,USD,transfer,Transfer to admin [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
