transaction_id,date_time,debit_account,credit_account,amount,currency,type,description,generator_tag
GEN_20251108_233103_00001,2025-05-13T14:30:50.054609,external,13,93.36,USD,income,Student loan disbursement [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00002,2025-05-14T20:25:09.054609,external,2,782.05,USD,income,Parent transfer [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00003,2025-05-15T11:32:45.054609,4,external,133.86,USD,transfer,Transfer to alice [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00004,2025-05-15T19:12:07.054609,7,external,177.63,USD,transfer,Transfer to Sami [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00005,2025-05-18T09:28:31.054609,13,external,497.33,USD,payment,Laundry [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00006,2025-05-20T17:46:38.054609,external,11,401.67,USD,income,Student grant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00007,2025-05-21T15:20:27.054609,13,external,473.98,USD,transfer,Transfer to demo [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00008,2025-05-23T13:20:42.054609,12,external,6.31,USD,payment,Coffee & snacks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00009,2025-05-23T14:01:43.054609,8,external,105.26,USD,payment,Online subscription [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00010,2025-05-25T09:01:36.054609,6,external,162.64,USD,payment,Gym membership [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00011,2025-05-26T14:10:20.054609,external,9,955.43,USD,income,Student loan disbursement [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00012,2025-05-26T14:39:37.054609,external,12,227.88,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00013,2025-05-29T13:05:37.054609,external,3,358.66,USD,income,Parent transfer [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00014,2025-05-30T21:27:33.054609,3,external,482.06,USD,payment,Textbooks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00015,2025-06-03T20:02:01.054609,external,3,291.86,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00016,2025-06-04T09:20:27.054609,12,external,226.52,USD,payment,Pizza delivery [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00017,2025-06-10T09:32:15.054609,14,external,805.83,USD,payment,Gym membership [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00018,2025-06-11T13:56:04.054609,5,external,8.54,USD,transfer,Transfer to demo5 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00019,2025-06-12T19:56:53.054609,external,5,627.92,USD,income,Refund from bookstore [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00020,2025-06-13T08:08:36.054609,external,1,728.61,USD,income,Work study payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00021,2025-06-14T17:14:15.054609,external,4,294.94,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00022,2025-06-14T19:43:35.054609,8,external,28.31,USD,transfer,Transfer to demo5 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00023,2025-06-16T13:25:37.054609,2,external,299.98,USD,payment,Entertainment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00024,2025-06-18T12:36:30.054609,4,external,293.19,USD,transfer,Transfer to frank [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00025,2025-06-19T08:25:27.054609,4,external,342.02,USD,transfer,Transfer to student [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00026,2025-06-21T15:47:56.054609,14,external,384.28,USD,transfer,Transfer to demouser [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00027,2025-06-23T12:09:21.054609,3,external,20.21,USD,transfer,Transfer to demouser [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00028,2025-06-23T16:29:31.054609,14,external,131.22,USD,payment,Online subscription [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00029,2025-06-24T11:06:22.054609,7,external,385.71,USD,transfer,Transfer to plampie [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00030,2025-06-27T15:26:48.054609,6,external,271.06,USD,transfer,Transfer to Miha.Ch [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00031,2025-06-29T16:09:48.054609,5,external,428.46,USD,payment,Coffee & snacks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00032,2025-07-05T15:35:17.054609,external,12,31.21,USD,income,Student grant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00033,2025-07-08T13:11:54.054609,2,external,314.36,USD,transfer,Transfer to demo2 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00034,2025-07-11T15:47:49.054609,10,external,164.65,USD,payment,Entertainment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00035,2025-07-16T15:37:27.054609,3,external,388.21,USD,transfer,Transfer to testuser [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00036,2025-07-16T18:53:58.054609,external,6,120.68,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
