transaction_id,date_time,debit_account,credit_account,amount,currency,type,description,generator_tag
GEN_20251108_233931_00001,2025-05-13T13:27:37.254520,11,external,322.81,USD,payment,Mobile top-up [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00002,2025-05-18T13:21:06.254520,13,external,135.57,USD,payment,Gym membership [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00003,2025-05-25T19:10:33.254520,1,external,868.27,USD,payment,Textbooks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00004,2025-05-29T09:12:46.254520,12,1,267.0,USD,transfer,Transfer to testuser [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00005,2025-06-01T14:18:34.254520,13,5,400.49,USD,transfer,Transfer to eve [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00006,2025-06-02T10:37:05.254520,13,external,169.84,USD,payment,Restaurant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00007,2025-06-03T10:58:44.254520,12,7,390.07,USD,transfer,Transfer to Miha.Ch [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00008,2025-06-04T10:02:57.254520,3,external,417.07,USD,payment,Mobile top-up [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00009,2025-06-06T11:54:30.254520,6,external,806.71,USD,payment,Mobile top-up [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00010,2025-06-07T16:07:52.254520,1,external,92.72,USD,payment,Restaurant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00011,2025-06-11T20:26:00.254520,12,external,176.81,USD,payment,Laundry [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00012,2025-06-12T09:15:45.254520,16,4,153.58,USD,transfer,Transfer to bob [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00013,2025-06-13T19:11:08.254520,11,external,218.94,USD,payment,Entertainment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00014,2025-06-14T15:59:34.254520,3,external,186.91,USD,payment,Restaurant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00015,2025-06-16T18:50:48.254520,7,external,225.39,USD,payment,Coffee & snacks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00016,2025-06-21T10:18:09.254520,7,external,178.61,USD,payment,Study materials [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00017,2025-06-26T13:24:30.254520,5,1,50.27,USD,transfer,Transfer to testuser [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00018,2025-06-26T13:32:43.254520,16,external,327.79,USD,payment,Coffee & snacks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00019,2025-06-26T14:41:17.254520,17,12,296.79,USD,transfer,Transfer to demo2 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00020,2025-06-29T11:04:59.254520,external,10,93.73,USD,income,Student loan disbursement [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00021,2025-06-30T13:52:16.254520,1,14,368.89,USD,transfer,Transfer to student [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00022,2025-07-06T09:29:50.254520,4,12,355.85,USD,transfer,Transfer to demo2 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00023,2025-07-06T18:24:28.254520,external,12,487.8,USD,income,Tutoring payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00024,2025-07-08T21:31:01.254520,10,external,249.5,USD,payment,Laundry [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00025,2025-07-10T14:03:37.254520,14,external,12.36,USD,payment,Textbooks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00026,2025-07-15T19:02:27.254520,5,12,402.59,USD,transfer,Transfer to demo2 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00027,2025-07-18T13:43:36.254520,2,7,312.93,USD,transfer,Transfer to Miha.Ch [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00028,2025-07-19T11:31:51.254520,10,12,553.55,USD,transfer,Transfer to demo2 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00029,2025-07-19T23:07:02.254520,7,external,379.62,USD,payment,Grocery shopping [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00030,2025-07-25T13:40:30.254520,external,3,946.95,USD,income,Student loan disbursement [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00031,2025-07-27T21:32:16.254520,5,external,484.53,USD,payment,Gym membership [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00032,2025-07-30T18:54:16.254520,external,2,401.0,USD,income,Parent transfer [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00033,2025-07-31T23:40:23.254520,8,11,411.95,USD,transfer,Transfer to demo [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00034,2025-08-04T08:23:04.254520,16,external,367.95,USD,payment,Laundry [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00035,2025-08-04T23:26:39.254520,17,11,463.22,USD,transfer,Transfer to demo [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233931_00036,2025-08-06T16:53:10.254520,external,12,184.0,USD,income,Refund from bookstore [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
