transaction_id,date_time,debit_account,credit_account,amount,currency,type,description,generator_tag
GEN_20251108_234526_00001,2025-05-17T08:24:22.034638,9,external,334.16,USD,payment,Mobile top-up [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00002,2025-05-18T20:40:19.034638,9,17,410.86,USD,transfer,Transfer to demo5 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00003,2025-05-19T12:45:01.034638,external,5,14.93,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00004,2025-05-22T08:25:59.034638,6,external,241.35,USD,payment,Study materials [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00005,2025-05-27T19:30:06.034638,external,5,77.75,USD,income,Refund from bookstore [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00006,2025-05-29T12:57:50.034638,11,external,51.34,USD,payment,Grocery shopping [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00007,2025-06-02T14:12:06.034638,external,5,273.84,USD,income,Refund from bookstore [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00008,2025-06-08T11:40:45.034638,10,external,53.6,USD,payment,Coffee & snacks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00009,2025-06-08T12:37:07.034638,12,11,419.09,USD,transfer,Transfer to demo [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00010,2025-06-10T15:52:13.034638,7,2,745.7,USD,transfer,Transfer to demouser [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00011,2025-06-11T10:36:55.034638,11,external,497.76,USD,payment,Restaurant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00012,2025-06-11T14:31:48.034638,external,4,390.22,USD,income,Student grant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00013,2025-06-12T11:25:44.034638,12,17,368.78,USD,transfer,Transfer to demo5 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00014,2025-06-13T20:06:43.034638,external,6,316.36,USD,income,Tutoring payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00015,2025-06-15T08:30:18.034638,17,7,340.33,USD,transfer,Transfer to Miha.Ch [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00016,2025-06-15T18:33:53.034638,11,external,401.52,USD,payment,Laundry [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00017,2025-06-16T15:20:36.034638,3,16,246.69,USD,transfer,Transfer to testuser123 [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00018,2025-06-18T14:34:28.034638,external,5,364.98,USD,income,Work study payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00019,2025-06-19T10:37:34.034638,8,external,284.26,USD,payment,Restaurant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00020,2025-06-20T17:49:23.034638,10,external,394.51,USD,payment,Online subscription [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00021,2025-06-20T20:55:38.034638,10,external,181.43,USD,payment,Textbooks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00022,2025-06-21T09:08:27.034638,external,5,182.78,USD,income,Work study payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00023,2025-06-27T08:27:24.034638,2,6,467.63,USD,transfer,Transfer to frank [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00024,2025-06-28T15:45:55.034638,external,2,321.43,USD,income,Freelance project [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00025,2025-07-01T20:07:31.034638,external,8,292.67,USD,income,Student grant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00026,2025-07-01T21:18:00.034638,external,6,491.31,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00027,2025-07-02T15:14:10.034638,external,5,431.8,USD,income,Scholarship payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00028,2025-07-03T17:44:38.034638,17,external,354.16,USD,payment,Textbooks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00029,2025-07-06T22:27:54.034638,external,9,298.47,USD,income,Refund from bookstore [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00030,2025-07-09T22:49:38.034638,external,2,281.97,USD,income,Work study payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00031,2025-07-10T22:42:17.034638,external,12,442.08,USD,income,Parent transfer [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00032,2025-07-13T20:46:11.034638,external,5,13.0,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00033,2025-07-17T12:44:10.034638,external,7,271.59,USD,income,Tutoring payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00034,2025-07-17T19:51:26.034638,external,6,299.66,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00035,2025-07-19T19:09:35.034638,external,7,198.11,USD,income,Work study payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00036,2025-07-20T13:03:41.034638,9,external,105.27,USD,payment,Mobile top-up [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_234526_00037,2025-07-22T13:03:31.034638,16,external,303.28,USD,payment,Gym membership [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
